EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_F1	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
1	16:56:06	0	1.0000	3.6466269493103027	0.949	0.949	0.949	3.7663357257843018	0.9521	0.9521	0.9521	3.903959274291992	0.9437	0.9437	0.9437
2	16:57:20	1	1.0000	3.4661693572998047	0.9505	0.9505	0.9505	3.7542009353637695	0.9512	0.9512	0.9512	3.5827505588531494	0.9464	0.9464	0.9464
3	16:58:34	2	1.0000	8.45525074005127	0.8848	0.8848	0.8848	9.367056846618652	0.8805	0.8805	0.8805	8.189698219299316	0.8833	0.8833	0.8833
4	16:59:49	0	0.5000	2.1927621364593506	0.9641	0.9641	0.9641	2.4653780460357666	0.9647	0.9647	0.9647	2.515016555786133	0.9614	0.9614	0.9614
5	17:01:05	1	0.5000	2.265544891357422	0.9619	0.9619	0.9619	2.4256772994995117	0.9627	0.9627	0.9627	2.5926151275634766	0.957	0.957	0.957
6	17:02:20	0	0.5000	1.9622652530670166	0.9665	0.9665	0.9665	2.1467700004577637	0.9683	0.9683	0.9683	2.2113590240478516	0.9645	0.9645	0.9645
7	17:03:34	1	0.5000	2.742478370666504	0.9461	0.9461	0.9461	2.928610324859619	0.9509	0.9509	0.9509	3.1921327114105225	0.9361	0.9361	0.9361
8	17:04:46	2	0.5000	2.063018321990967	0.9629	0.9629	0.9629	2.331855535507202	0.9636	0.9636	0.9636	2.4240074157714844	0.958	0.958	0.958
9	17:06:01	1	0.2500	1.8479998111724854	0.9675	0.9675	0.9675	2.1465935707092285	0.9676	0.9676	0.9676	2.1130332946777344	0.9637	0.9637	0.9637
10	17:07:20	2	0.2500	1.7986822128295898	0.9683	0.9683	0.9683	2.073627233505249	0.9682	0.9682	0.9682	2.0855631828308105	0.9642	0.9642	0.9642
11	17:08:35	1	0.1250	1.7464967966079712	0.9689	0.9689	0.9689	2.052910566329956	0.9681	0.9681	0.9681	2.025787591934204	0.9648	0.9648	0.9648
12	17:09:51	2	0.1250	1.7616487741470337	0.9682	0.9682	0.9682	2.0664727687835693	0.9674	0.9674	0.9674	2.023294448852539	0.9646	0.9646	0.9646
13	17:11:07	0	0.0625	1.7096130847930908	0.9691	0.9691	0.9691	2.0061140060424805	0.9685	0.9685	0.9685	2.0066685676574707	0.9643	0.9643	0.9643
14	17:12:22	0	0.0625	1.7192308902740479	0.9692	0.9692	0.9692	2.013439416885376	0.9688	0.9688	0.9688	2.0051605701446533	0.9647	0.9647	0.9647
15	17:13:35	0	0.0625	1.7113728523254395	0.9696	0.9696	0.9696	1.9988857507705688	0.9691	0.9691	0.9691	2.003204107284546	0.9641	0.9641	0.9641
16	17:14:50	1	0.0625	1.7084406614303589	0.9688	0.9688	0.9688	2.001615524291992	0.9683	0.9683	0.9683	2.0048744678497314	0.9636	0.9636	0.9636
17	17:16:06	2	0.0625	1.69990074634552	0.9691	0.9691	0.9691	1.9866724014282227	0.9685	0.9685	0.9685	1.9832814931869507	0.9642	0.9642	0.9642
18	17:17:20	1	0.0312	1.6957138776779175	0.9696	0.9696	0.9696	1.9876326322555542	0.9688	0.9688	0.9688	1.970319390296936	0.9646	0.9646	0.9646
19	17:18:34	2	0.0312	1.6859732866287231	0.9696	0.9696	0.9696	1.9803799390792847	0.9691	0.9691	0.9691	1.9750038385391235	0.9646	0.9646	0.9646
20	17:19:47	1	0.0156	1.684239387512207	0.9699	0.9699	0.9699	1.9797008037567139	0.9688	0.9688	0.9688	1.9710153341293335	0.9648	0.9648	0.9648
21	17:21:01	2	0.0156	1.6861861944198608	0.9699	0.9699	0.9699	1.9811195135116577	0.9687	0.9687	0.9687	1.964544653892517	0.9653	0.9653	0.9653
22	17:22:14	1	0.0078	1.6820210218429565	0.9699	0.9699	0.9699	1.9762959480285645	0.9688	0.9688	0.9688	1.9620704650878906	0.9651	0.9651	0.9651
23	17:23:27	2	0.0078	1.682210087776184	0.9697	0.9697	0.9697	1.9740792512893677	0.9689	0.9689	0.9689	1.9643545150756836	0.9649	0.9649	0.9649
24	17:24:40	1	0.0039	1.683324933052063	0.9697	0.9697	0.9697	1.9750791788101196	0.969	0.969	0.969	1.9657660722732544	0.965	0.965	0.965
25	17:25:53	2	0.0039	1.6824376583099365	0.9697	0.9697	0.9697	1.973291039466858	0.969	0.969	0.969	1.9639689922332764	0.9649	0.9649	0.9649
26	17:27:05	1	0.0020	1.6821216344833374	0.9697	0.9697	0.9697	1.9729536771774292	0.969	0.969	0.969	1.9634441137313843	0.965	0.965	0.965
27	17:28:20	2	0.0020	1.6819217205047607	0.9697	0.9697	0.9697	1.9729983806610107	0.969	0.969	0.969	1.9627653360366821	0.965	0.965	0.965
28	17:29:31	1	0.0010	1.68218994140625	0.9697	0.9697	0.9697	1.9730873107910156	0.969	0.969	0.969	1.9633487462997437	0.965	0.965	0.965
29	17:30:46	2	0.0010	1.6825207471847534	0.9697	0.9697	0.9697	1.9731494188308716	0.9689	0.9689	0.9689	1.9636831283569336	0.965	0.965	0.965
30	17:32:00	1	0.0005	1.6821198463439941	0.9697	0.9697	0.9697	1.9727946519851685	0.969	0.969	0.969	1.963207483291626	0.965	0.965	0.965
31	17:33:14	2	0.0005	1.6821812391281128	0.9697	0.9697	0.9697	1.9729094505310059	0.969	0.969	0.969	1.963285207748413	0.965	0.965	0.965
32	17:34:27	1	0.0002	1.6823077201843262	0.9697	0.9697	0.9697	1.9729795455932617	0.9689	0.9689	0.9689	1.9634552001953125	0.965	0.965	0.965
33	17:35:38	2	0.0002	1.682108759880066	0.9697	0.9697	0.9697	1.9727429151535034	0.969	0.969	0.969	1.9633198976516724	0.965	0.965	0.965
34	17:36:52	1	0.0001	1.6820940971374512	0.9697	0.9697	0.9697	1.9727058410644531	0.969	0.969	0.969	1.9633023738861084	0.965	0.965	0.965
35	17:38:06	2	0.0001	1.6820530891418457	0.9697	0.9697	0.9697	1.972686767578125	0.969	0.969	0.969	1.9632457494735718	0.965	0.965	0.965
36	17:39:20	1	0.0001	1.6820764541625977	0.9697	0.9697	0.9697	1.9727085828781128	0.969	0.969	0.969	1.9633020162582397	0.965	0.965	0.965
37	17:40:33	2	0.0001	1.6820207834243774	0.9697	0.9697	0.9697	1.9726452827453613	0.969	0.969	0.969	1.9632457494735718	0.965	0.965	0.965
38	17:41:47	1	0.0000	1.682029366493225	0.9697	0.9697	0.9697	1.972651481628418	0.969	0.969	0.969	1.963248610496521	0.965	0.965	0.965
39	17:43:01	2	0.0000	1.68202543258667	0.9697	0.9697	0.9697	1.972642421722412	0.969	0.969	0.969	1.9632571935653687	0.965	0.965	0.965
40	17:44:14	1	0.0000	1.682023525238037	0.9697	0.9697	0.9697	1.9726381301879883	0.969	0.969	0.969	1.9632587432861328	0.965	0.965	0.965
41	17:45:28	2	0.0000	1.6820082664489746	0.9697	0.9697	0.9697	1.9726231098175049	0.969	0.969	0.969	1.9632426500320435	0.965	0.965	0.965
